content,cleaned_content,cut_content,final_content
平均年薪都不超过5万内，三明医改到底到了谁手上？,平均年薪都不超过5万内三明医改到底到了谁手上,平均 年薪 都 不 超过 5 万内 三明 医改 到底 到 了 谁 手上,平均年薪都不超过5万内三明医改到底手上
快实行吧，希望每个科室都一样，反正我在的科室薪资是垫底的存在[doge],快实行吧希望每个科室都一样反正我在的科室薪资是垫底的存在[doge],快 实行 吧 希望 每个 科室 都 一样 反正 我 在 的 科室 薪资 是 垫底 的 存在 [ doge ],快实行希望科室都反正科室薪资垫底[doge]
我读到三十岁，你就跟我说一年20个？[doge],我读到三十岁你就跟我说一年20个[doge],我读 到 三十岁 你 就 跟 我 说 一年 20 个 [ doge ],我读三十岁说一年20[doge]
前面都是虚的，看后边最低不得低于7.5w就知道了，住院医就是7.5w顶天了，还15w，骗骗自己吧，刚刷到一个6w的哈哈哈笑死人了,前面都是虚的看后边最低不得低于75w就知道了住院医就是75w顶天了还15w骗骗自己吧刚刷到一个6w的哈哈哈笑死人了,前面 都 是 虚 的 看 后边 最低 不得 低于 75w 就 知道 了 住院 医 就是 75w 顶天 了 还 15w 骗骗 自己 吧 刚刷 到 一个 6w 的 哈哈哈 笑死人 了,都虚看后边最低低于75w住院医75w顶天还15w骗骗刚刷一个6w哈哈哈笑死人
@@小红薯123 好多钱,小红薯123 好多钱,小 红薯 123   好多钱,小红薯123好多钱
就想问问医院那些门诊挂号和前台的护士为什么比临床医生拿的还多呢？风险是医生在承担，手术也是医生在做，凭什么？我就问凭什么？这是按什么依据发的绩效？就知道剥削一线人员的工资，一线都不干了，哪来的钱？,就想问问医院那些门诊挂号和前台的护士为什么比临床医生拿的还多呢风险是医生在承担手术也是医生在做凭什么我就问凭什么这是按什么依据发的绩效就知道剥削一线人员的工资一线都不干了哪来的钱,就 想 问问 医院 那些 门诊 挂号 和 前台 的 护士 为什么 比 临床 医生 拿 的 还 多 呢 风险 是 医生 在 承担 手术 也 是 医生 在 做 凭 什么 我 就 问 凭 什么 这 是 按 什么 依据 发 的 绩效 就 知道 剥削 一线 人员 的 工资 一线 都 不 干 了 哪来 的 钱,想问问医院门诊挂号前台护士临床医生还风险医生承担手术医生做问依据发绩效剥削一线人员工资一线都不干哪来钱
学医十年[偷笑R]就为了年薪十万[笑哭R][笑哭R]哈哈哈哈哈笑抽了[doge],学医十年[偷笑]就为了年薪十万[笑哭][笑哭]哈哈哈哈哈笑抽了[doge],学医 十年 [ 偷笑 ] 就 为了 年薪 十万 [ 笑 哭 ] [ 笑 哭 ] 哈哈哈 哈哈笑 抽 了 [ doge ],学医十年[偷笑]年薪十万[笑哭][笑哭]哈哈哈哈哈笑抽[doge]
还是来我这搞个副业吧,还是来我这搞个副业吧,还是 来 我 这 搞 个 副业 吧,搞副业
卧槽主任才30万[笑哭R],卧槽主任才30万[笑哭],卧槽 主任 才 30 万 [ 笑 哭 ],卧槽主任才30万[笑哭]
挺好的，医生一天只排两三台手术，跟美国一样想做手术等个几个月的吧[自拍R],挺好的医生一天只排两三台手术跟美国一样想做手术等个几个月的吧[自拍],挺 好 的 医生 一天 只排 两 三台 手术 跟 美国 一样 想 做手术 等 个 几个 月 的 吧 [ 自拍 ],挺好医生只排两三台手术美国想做手术几个月[自拍]
国家也不拨款，给你写800万能咋的,国家也不拨款给你写800万能咋的,国家 也 不 拨款 给 你 写 800 万能 咋 的,国家不拨款写800万能
其实有些外科医生根本不靠工资 ，我小姨癌症，病房一共4个人，最少一个送了3000红包，没有一个不塞的。,其实有些外科医生根本不靠工资 我小姨癌症病房一共4个人最少一个送了3000红包没有一个不塞的,其实 有些 外科医生 根本 不靠 工资   我 小姨 癌症 病房 一共 4 个人 最少 一个 送 了 3000 红包 没有 一个 不塞 的,外科医生不靠工资小姨癌症病房一共4最少一个送3000红包一个不塞
我直接摆烂稳拿7.5如何呢,我直接摆烂稳拿75如何呢,我 直接 摆烂 稳拿 75 如何 呢,摆烂稳拿75
就业大环境不好，本来还想着读医学专业能好点，虽然培养周期长但是后期至少能养活自己，现在真没啥能选的专业了，女生读工科也难[捂脸R][捂脸R][捂脸R][捂脸R],就业大环境不好本来还想着读医学专业能好点虽然培养周期长但是后期至少能养活自己现在真没啥能选的专业了女生读工科也难[捂脸][捂脸][捂脸][捂脸],就业 大 环境 不好 本来 还 想着 读 医学专业 能 好点 虽然 培养 周期长 但是 后期 至少 能 养活 自己 现在 真 没 啥 能 选 的 专业 了 女生 读 工科 也 难 [ 捂脸 ] [ 捂脸 ] [ 捂脸 ] [ 捂脸 ],就业大环境不好本来还想着读医学专业好点培养周期长后期至少养活真没选专业女生读工科难[捂脸][捂脸][捂脸][捂脸]
这也太少了…,这也太少了,这 也 太少 了,太少
[doge]分级诊疗喊了那么多年不推广，三明医改这么急着推广,[doge]分级诊疗喊了那么多年不推广三明医改这么急着推广,[ doge ] 分级 诊疗 喊 了 那么 多年 不 推广 三明 医改 这么 急 着 推广,[doge]分级诊疗喊多年不推广三明医改急推广
我还想到时候读出来毕业了回深圳工作呢，这个年薪我要是回深圳连饭都吃不起，留北京也一样吃不起[笑哭R],我还想到时候读出来毕业了回深圳工作呢这个年薪我要是回深圳连饭都吃不起留北京也一样吃不起[笑哭],我 还 想到 时候 读出来 毕业 了 回 深圳 工作 呢 这个 年薪 我 要是 回 深圳 连饭 都 吃不起 留 北京 也 一样 吃不起 [ 笑 哭 ],还想到读出来毕业回深圳工作年薪回深圳连饭都吃不起留北京吃不起[笑哭]
赶紧执行，不要画大饼啊。,赶紧执行不要画大饼啊,赶紧 执行 不要 画 大饼 啊,赶紧执行画大饼
美国的医生60万—100万美元/年,美国的医生60万100万美元年,美国 的 医生 60 万 100 万美元 年,美国医生60万100万美元年
这收入都是包含五险一金，扣了到手在打七折，然后还有差距，至少不多，干脆别发了，干什么干，摆烂算了，,这收入都是包含五险一金扣了到手在打七折然后还有差距至少不多干脆别发了干什么干摆烂算了,这 收入 都 是 包含 五险 一金扣 了 到手 在 打 七折 然后 还有 差距 至少 不 多 干脆 别发 了 干什么 干摆烂 算了,收入都包含五险一金扣到手七折差距至少不干脆别发干什么干摆烂算了
好家伙，那上海医生买啥房,好家伙那上海医生买啥房,好家伙 那 上海 医生 买 啥 房,好家伙上海医生买房
结果就是老百姓看病难，有名气有能力的好医生会跳槽去私立，公立医院只能你开淀粉片回家喝热水。医护干多干少工资差不多更没有动力，医患矛盾更突出。医学生学习成本本来就高，出来继续当廉价牛马。,结果就是老百姓看病难有名气有能力的好医生会跳槽去私立公立医院只能你开淀粉片回家喝热水医护干多干少工资差不多更没有动力医患矛盾更突出医学生学习成本本来就高出来继续当廉价牛马,结果 就是 老百姓 看病难 有名气 有 能力 的 好 医生 会 跳槽 去 私立 公立医院 只能 你 开 淀粉 片 回家 喝 热水 医护 干多 干少 工资 差不多 更 没有 动力 医患 矛盾 更 突出 医学生 学习 成本 本来 就 高 出来 继续 当 廉价 牛马,老百姓看病难有名气能力好医生会跳槽去私立公立医院只能开淀粉片回家喝热水医护干多干少工资差不多更动力医患矛盾更医学生学习成本本来高廉价牛马
不如直播，不如搬砖，不如看门，不如送外卖，干哪一个都不需要读十年，还是我目光短浅了,不如直播不如搬砖不如看门不如送外卖干哪一个都不需要读十年还是我目光短浅了,不如 直播 不如 搬 砖 不如 看门 不如 送 外卖 干 哪 一个 都 不 需要 读 十年 还是 我 目光短浅 了,直播搬砖看门送外卖干一个都不读十年目光短浅
哇 以后还不如进厂打工啊,哇 以后还不如进厂打工啊,哇   以后 还 不如 进厂 打工 啊,还进厂打工
大家都有美好的未来,大家都有美好的未来,大家 都 有 美好 的 未来,都美好未来
要分区域吧，小城市还可以，北上广肯定太少了,要分区域吧小城市还可以北上广肯定太少了,要分 区域 吧 小 城市 还 可以 北上 广 肯定 太少 了,要分区域小城市还北上广肯定太少
@AAAA-红麝香珠串批发商 我勒个豆这么难  我现在去当个前台也行了,aaaa红麝香珠串批发商 我勒个豆这么难 我现在去当个前台也行了,aaaa 红 麝香 珠串 批发商   我勒个 豆 这么 难   我 现在 去 当个 前台 也 行 了,aaaa红麝香珠串批发商我勒个豆难去当个前台行
学了那么多年医，学医的大多数都是在靠家里扶持，其中的辛苦只有学医人懂，看着自己的同学能养活自己，自己还得在没有工资的规培三年阶段，还要靠父母生活费[哭惹R]收入和付出不持平，还有谁认真看病人,学了那么多年医学医的大多数都是在靠家里扶持其中的辛苦只有学医人懂看着自己的同学能养活自己自己还得在没有工资的规培三年阶段还要靠父母生活费[哭惹]收入和付出不持平还有谁认真看病人,学了 那么 多年 医学 医的 大多数 都 是 在 靠 家里 扶持 其中 的 辛苦 只有 学医 人 懂 看着 自己 的 同学 能 养活 自己 自己 还 得 在 没有 工资 的 规培 三年 阶段 还要 靠 父母 生活费 [ 哭 惹 ] 收入 和 付出 不 持平 还有 谁 认真 看 病人,学了多年医学医的都家里扶持辛苦学医人懂看着同学养活还工资规培三年阶段还要父母生活费[哭惹]收入付出不持平看病人
评论区谁年后跟我组团去和睦家面试，早去占坑儿，少走几十年弯路[笑哭R][笑哭R]@魔鬼筋肉人,评论区谁年后跟我组团去和睦家面试早去占坑儿少走几十年弯路[笑哭][笑哭]魔鬼筋肉人,评论 区 谁 年 后 跟 我 组团 去 和睦家 面试 早去 占 坑 儿少 走 几十年 弯路 [ 笑 哭 ] [ 笑 哭 ] 魔鬼 筋肉 人,评论区年后组团去和睦家面试早去占坑儿少走几十年弯路[笑哭][笑哭]魔鬼筋肉人
@萌宠攻略王,萌宠攻略王,萌宠 攻略 王,萌宠攻略王
好医生都要去私立和外资医院了吧,好医生都要去私立和外资医院了吧,好 医生 都 要 去 私立 和 外资 医院 了 吧,好医生都去私立外资医院
@momo 以前说我养你但我觉得你工资后面肯定够高，现在好像你真的需要我养了,momo 以前说我养你但我觉得你工资后面肯定够高现在好像你真的需要我养了,momo   以前 说 我养 你 但 我 觉得 你 工资 后面 肯定 够 高 现在 好像 你 真的 需要 我养 了,momo说我养工资肯定够高好像真的我养
职称高并不代表看病或手术水平就高,职称高并不代表看病或手术水平就高,职称 高 并 不 代表 看病 或 手术 水平 就 高,职称高不代表看病手术水平高
@Fren,fren,fren,fren
大趋势，肯定是私立医院提供优质药品和优质医疗服务的，尤其在医改以后,大趋势肯定是私立医院提供优质药品和优质医疗服务的尤其在医改以后,大 趋势 肯定 是 私立 医院 提供 优质 药品 和 优质 医疗 服务 的 尤其 在 医改 以后,大趋势肯定私立医院提供优质药品优质医疗服务医改
@momo @薇尔莉特 ？？？哇塞,momo 薇尔莉特 哇塞,momo   薇 尔莉特   哇塞,momo薇尔莉特哇塞
@什么名字都可以 医学以后高考录取分数就蹭蹭地降吧[笑哭R],什么名字都可以 医学以后高考录取分数就蹭蹭地降吧[笑哭],什么 名字 都 可以   医学 以后 高考 录取分数 就 蹭 蹭 地降 吧 [ 笑 哭 ],名字都医学高考录取分数蹭蹭地降[笑哭]
收藏了谢谢,收藏了谢谢,收藏 了 谢谢,收藏谢谢
下篇笔记：三明医改工分制细则！欢迎关注[握手R][握手R][握手R],下篇笔记三明医改工分制细则欢迎关注[握手][握手][握手],下篇 笔记 三明 医改 工分 制 细则 欢迎 关注 [ 握手 ] [ 握手 ] [ 握手 ],下篇笔记三明医改工分制细则关注[握手][握手][握手]
卫生院10万，涨薪了[哇R],卫生院10万涨薪了[哇],卫生院 10 万涨 薪 了 [ 哇 ],卫生院10万涨薪[]
改吧，反正是年薪，一个病号不收一年也是发那些钱，一天天搁医院坐着熬时间就行了,改吧反正是年薪一个病号不收一年也是发那些钱一天天搁医院坐着熬时间就行了,改 吧 反正 是 年薪 一个 病号 不 收 一年 也 是 发 那些 钱 一天天 搁 医院 坐 着 熬 时间 就行了,改反正年薪一个病号不收一年发钱一天天搁医院坐熬时间就行了
降薪这么多，我想知道平民百姓是看病便宜，却找来一堆带有情绪的医生，有何用？,降薪这么多我想知道平民百姓是看病便宜却找来一堆带有情绪的医生有何用,降薪 这么 多 我 想 知道 平民百姓 是 看病 便宜 却 找 来 一堆 带有 情绪 的 医生 有 何用,降薪想平民百姓看病便宜却找一堆带有情绪医生何用
真要这样的话，一早上看20个病人估计都嫌多,真要这样的话一早上看20个病人估计都嫌多,真 要 这样的话 一 早上 看 20 个 病人 估计 都 嫌多,真这样的话早上看20病人估计都嫌多
就这么说吧。图中的年薪，绝对拿不到，就***的做派，怎么可能让医生拿那么多的钱？,就这么说吧图中的年薪绝对拿不到就的做派怎么可能让医生拿那么多的钱,就 这么 说 吧 图 中 的 年薪 绝对 拿 不到 就 的 做派 怎么 可能 让 医生 拿 那么 多 的 钱,说图中年薪不到做派医生钱
哪个医院副主任能发25？发20我就去,哪个医院副主任能发25发20我就去,哪个 医院 副 主任 能发 25 发 20 我 就 去,医院副主任能发25发20去
现在工资降了百分之六十 真是活不起了,现在工资降了百分之六十 真是活不起了,现在 工资 降 了 百分之六十   真是 活不起 了,工资降百分之六十活不起
如果真这个工资，估计我们都得笑醒，我们三甲的主任都没有那么多,如果真这个工资估计我们都得笑醒我们三甲的主任都没有那么多,如果 真 这个 工资 估计 我们 都 得 笑醒 我们 三甲 的 主任 都 没有 那么 多,真工资估计都笑醒三甲主任都
这种改法会不会对病人的不负责，就医生来说一个职级的技术水平都大有不同，更别说其他。,这种改法会不会对病人的不负责就医生来说一个职级的技术水平都大有不同更别说其他,这种 改 法会 不会 对 病人 的 不 负责 就 医生 来说 一个 职级 的 技术水平 都 大有 不同 更 别说 其他,改法会病人不负责医生来说一个职级技术水平都大有更
三明市人民政府官网发文《尤溪县总医院：以全员目标年薪工分制延伸三明薪酬改革最后一公里》，文中明确：按系列划分全院工资总额。医生（技师）占全院工资发放总额的50%左右，其中医技系列占9.5%左右，其他人员占10%左右；护理、药剂占全院年薪发放总额的40%左右，其中护理团队占36%左右，药剂团队占4%左右；行政后勤占全院年薪发放总额的10%左右。值得注意的是，各系列工资总额分配比例一年一调。,三明市人民政府官网发文尤溪县总医院以全员目标年薪工分制延伸三明薪酬改革最后一公里文中明确按系列划分全院工资总额医生技师占全院工资发放总额的50左右其中医技系列占95左右其他人员占10左右护理药剂占全院年薪发放总额的40左右其中护理团队占36左右药剂团队占4左右行政后勤占全院年薪发放总额的10左右值得注意的是各系列工资总额分配比例一年一调,三明市 人民政府 官网 发文 尤溪县 总医院 以 全员 目标 年薪 工分 制 延伸 三明 薪酬 改革 最后 一 公里 文中 明确 按 系列 划分 全院 工资总额 医生 技师 占 全院 工资 发放 总额 的 50 左右 其中 医技 系列 占 95 左右 其他 人员 占 10 左右 护理 药剂 占 全院 年薪 发放 总额 的 40 左右 其中 护理 团队 占 36 左右 药剂 团队 占 4 左右 行政 后勤 占 全院 年薪 发放 总额 的 10 左右 值得注意 的 是 各 系列 工资总额 分配比例 一年 一调,三明市人民政府官网发文尤溪县总医院全员目标年薪工分制延伸三明薪酬改革公里文中系列划分全院工资总额医生技师占全院工资发放总额50医技系列占95人员占10护理药剂占全院年薪发放总额40护理团队占36药剂团队占4行政后勤占全院年薪发放总额10值得注意系列工资总额分配比例一年一调
@没耐性的人儿,没耐性的人儿,没 耐性 的 人儿,没耐性人儿
弄来弄去也是领导好，什么事情？,弄来弄去也是领导好什么事情,弄来弄去 也 是 领导 好 什么 事情,弄来弄去领导好事情
这落实有那么容易吗？各个省各个城市之间的差距不一样，每个医院之间也是，同一个医院里边两个主任医师的水平，态度，技术都不一样 有高有低的 怎么可能都是一个薪资标准 这样的话谁还去发文章 谁还去卷 都去私立医院 那时候疑难杂症还得去私立医院 不还得看病难了吗,这落实有那么容易吗各个省各个城市之间的差距不一样每个医院之间也是同一个医院里边两个主任医师的水平态度技术都不一样 有高有低的 怎么可能都是一个薪资标准 这样的话谁还去发文章 谁还去卷 都去私立医院 那时候疑难杂症还得去私立医院 不还得看病难了吗,这 落实 有 那么 容易 吗 各个 省 各个 城市 之间 的 差距 不 一样 每个 医院 之间 也 是 同一个 医院 里边 两个 主任医师 的 水平 态度 技术 都 不 一样   有高有低 的   怎么 可能 都 是 一个 薪资 标准   这样的话 谁 还 去 发 文章   谁 还 去 卷   都 去 私立 医院   那 时候 疑难杂症 还 得 去 私立 医院   不 还 得 看病难 了 吗,落实省城市之间差距不医院之间同一个医院里边两个主任医师水平态度技术都不有高有低都一个薪资标准这样的话还去发文章还去卷都去私立医院疑难杂症还去私立医院不还看病难
还是你们医美好啊！学历要求不高，而且还暴利[doge],还是你们医美好啊学历要求不高而且还暴利[doge],还是 你们 医 美好 啊 学历 要求 不高 而且 还 暴利 [ doge ],医美好学历不高还暴利[doge]
这么低不可能，我们这普通医生一年都至少25w，主任至少40w,这么低不可能我们这普通医生一年都至少25w主任至少40w,这么 低 不 可能 我们 这 普通 医生 一年 都 至少 25w 主任 至少 40w,低不医生一年都至少25w主任至少40w
为什么技师药师比护士的钱多啊？？？,为什么技师药师比护士的钱多啊,为什么 技师 药师 比 护士 的 钱 多 啊,技师药师护士钱
拉倒吧，能到这个收入,拉倒吧能到这个收入,拉倒 吧 能 到 这个 收入,拉倒收入
能说到做到不[捂脸R],能说到做到不[捂脸],能 说到做到 不 [ 捂脸 ],说到做到不[捂脸]
我咋没这收入，哪里标准,我咋没这收入哪里标准,我 咋 没 这 收入 哪里 标准,没收入标准
做梦。虚报工资。到手很少的,做梦虚报工资到手很少的,做梦 虚报 工资 到手 很少 的,做梦虚报工资到手很少
[偷笑R]医改真的有好处？不都是为了填医保空缺,[偷笑]医改真的有好处不都是为了填医保空缺,[ 偷笑 ] 医改 真的 有 好处 不 都 是 为了 填 医保 空缺,[偷笑]医改真的好处不都填医保空缺
真能拿到手的话，我同意,真能拿到手的话我同意,真能 拿到 手 的话 我 同意,真能拿到手同意
对县级医院还可以吧这种看来,对县级医院还可以吧这种看来,对 县级 医院 还 可以 吧 这种 看来,县级医院还
不会那么低吧？,不会那么低吧,不会 那么 低 吧,低
赶紧来吧 绩效改革之后医生比护士和技师绩效还低,赶紧来吧 绩效改革之后医生比护士和技师绩效还低,赶紧 来 吧   绩效 改革 之后 医生 比 护士 和 技师 绩效 还 低,赶紧绩效改革医生护士技师绩效还低
三明医改工资标准是按照当地 GDP 和平均房价核定，这些数字没有任何意义,三明医改工资标准是按照当地 gdp 和平均房价核定这些数字没有任何意义,三明 医改 工资标准 是 按照 当地   gdp   和 平均 房价 核定 这些 数字 没有 任何 意义,三明医改工资标准当地gdp平均房价核定数字意义
都在趁三明医改的热度吗？不要信这些[doge],都在趁三明医改的热度吗不要信这些[doge],都 在 趁 三明 医改 的 热度 吗 不要 信 这些 [ doge ],都三明医改热度信[doge]
到不了这么多你补吗,到不了这么多你补吗,到 不了 这么 多 你 补 吗,不了补
规定的很好 钱呢 谁来发,规定的很好 钱呢 谁来发,规定 的 很 好   钱 呢   谁 来 发,很好钱发
感觉top医院不会大变诶,感觉top医院不会大变诶,感觉 top 医院 不会 大变 诶,感觉top医院大变诶
主治医师在行政，这个工资咋算,主治医师在行政这个工资咋算,主治医师 在 行政 这个 工资 咋算,主治医师行政工资咋算
老龄人口越来越多，医保资金池不够用，所以必须走三明医改这条路，没得办法。医生收入减少必然导致服务降低，压缩医药成本，药效下降，治不好病也是要面对的现实。,老龄人口越来越多医保资金池不够用所以必须走三明医改这条路没得办法医生收入减少必然导致服务降低压缩医药成本药效下降治不好病也是要面对的现实,老龄 人口 越来越 多 医保 资金 池 不够 用 所以 必须 走 三明 医改 这条 路 没得 办法 医生 收入 减少 必然 导致 服务 降低 压缩 医药 成本 药效 下降 治不好 病 也 是 要 面对 的 现实,老龄人口越来越医保资金池走三明医改这条路没得办法医生收入减少导致服务降低压缩医药成本药效下降治不好病面对现实
一知半解,一知半解,一知半解,一知半解
学习了,学习了,学习 了,学习
合同工也是按职称吗,合同工也是按职称吗,合同工 也 是 按 职称 吗,合同工职称
吹捧三明医改的可以去看看三明市的公立医院什么样了再来说吧。,吹捧三明医改的可以去看看三明市的公立医院什么样了再来说吧,吹捧 三明 医改 的 可以 去 看看 三明市 的 公立医院 什么样 了 再 来说 吧,吹捧三明医改去三明市公立医院再来说
那是上限吧，实际上是无下限[doge],那是上限吧实际上是无下限[doge],那 是 上限 吧 实际上 是 无 下限 [ doge ],上限实际上无下限[doge]
医技的春天来了[偷笑R],医技的春天来了[偷笑],医技 的 春天 来 了 [ 偷笑 ],医技春天[偷笑]
[doge]尊的假的，那不是大幅度涨薪了,[doge]尊的假的那不是大幅度涨薪了,[ doge ] 尊 的 假 的 那 不是 大幅度 涨薪 了,[doge]尊假大幅度涨薪
三甲医院行政月薪4000……天天加班……还降……,三甲医院行政月薪4000天天加班还降,三甲 医院 行政 月薪 4000 天天 加班 还降,三甲医院行政月薪4000天天加班还降
赶紧三明医改吧，现在降薪降的已经可怕了,赶紧三明医改吧现在降薪降的已经可怕了,赶紧 三明 医改 吧 现在 降薪 降 的 已经 可怕 了,赶紧三明医改降薪降可怕
拿不了这么多吧,拿不了这么多吧,拿 不了 这么 多 吧,不了
一句话，丧事喜办[doge],一句话丧事喜办[doge],一句 话 丧事 喜办 [ doge ],一句话丧事喜办[doge]
工资应该和药械脱钩，但如果按职称固定收入，那如何激发医生的工作积极性？以后优质私立医院遍地开花，最好的医生会流失到私立去。和国外模式一样，想要更好的医疗，必须要花大钱购买商业医疗保险,工资应该和药械脱钩但如果按职称固定收入那如何激发医生的工作积极性以后优质私立医院遍地开花最好的医生会流失到私立去和国外模式一样想要更好的医疗必须要花大钱购买商业医疗保险,工资 应该 和 药械 脱钩 但 如果 按 职称 固定收入 那 如何 激发 医生 的 工作 积极性 以后 优质 私立 医院 遍地开花 最好 的 医生 会 流失 到 私立 去 和 国外 模式 一样 想要 更好 的 医疗 必须 要 花大钱 购买 商业 医疗保险,工资药械脱钩职称固定收入激发医生工作积极性优质私立医院遍地开花医生会流失私立去国外模式想要更好医疗花大钱购买商业医疗保险
坐标浙江大三甲，有次偶然瞥见副高税后收入40多w,坐标浙江大三甲有次偶然瞥见副高税后收入40多w,坐标 浙江 大 三甲 有次 偶然 瞥见 副 高 税后 收入 40 多 w,坐标浙江大三甲有次偶然瞥见副高税后收入40w
医生带着情绪上班，能好好服务患者嘛,医生带着情绪上班能好好服务患者嘛,医生 带 着 情绪 上班 能 好好 服务 患者 嘛,医生带情绪上班好好服务患者
五险一金能扣多少？,五险一金能扣多少,五险 一金能 扣 多少,五险一金能扣
做梦,做梦,做梦,做梦
就是不知道年薪制的情况下那些个干临床的牛马能按时下班了没[笑哭R],就是不知道年薪制的情况下那些个干临床的牛马能按时下班了没[笑哭],就是 不 知道 年薪制 的 情况 下 那些 个 干 临床 的 牛马 能 按时 下班 了 没 [ 笑 哭 ],不年薪制情况下干临床牛马按时下班没[笑哭]
所以明星凭什么挣那么多钱,所以明星凭什么挣那么多钱,所以 明星 凭 什么 挣 那么 多钱,明星挣多钱
所以医技放弃省三甲的高薪忙碌合同工岗位，选择市三甲编制岗位，会是对的嘛[哭惹R][哭惹R],所以医技放弃省三甲的高薪忙碌合同工岗位选择市三甲编制岗位会是对的嘛[哭惹][哭惹],所以 医技 放弃 省 三甲 的 高薪 忙碌 合同工 岗位 选择 市 三甲 编制 岗位 会 是 对 的 嘛 [ 哭 惹 ] [ 哭 惹 ],医技放弃省三甲高薪忙碌合同工岗位选择市三甲编制岗位会[哭惹][哭惹]
最简单的难道不是离开医院换个赛道？,最简单的难道不是离开医院换个赛道,最 简单 的 难道 不是 离开 医院 换个 赛道,最简单难道离开医院换个赛道
我是一个医学生，我想问一下各位前辈，可不可以先去公立磨砺手艺然后跳槽去私立呢,我是一个医学生我想问一下各位前辈可不可以先去公立磨砺手艺然后跳槽去私立呢,我 是 一个 医学生 我 想 问 一下 各位 前辈 可不可以 先 去 公立 磨砺 手艺 然后 跳槽 去 私立 呢,一个医学生想问前辈可不可以先去公立磨砺手艺跳槽去私立
底层的医护医技，利用完了就扔,底层的医护医技利用完了就扔,底层 的 医护 医技 利用 完 了 就 扔,底层医护医技利用完扔
讲那么多...最重要的，怎么搞钱你不说[笑哭R],讲那么多最重要的怎么搞钱你不说[笑哭],讲 那么 多 最 重要 的 怎么 搞钱 你 不 说 [ 笑 哭 ],讲最搞钱不说[笑哭]
猥琐发育，时间是金钱[偷笑R],猥琐发育时间是金钱[偷笑],猥琐 发育 时间 是 金钱 [ 偷笑 ],猥琐发育时间金钱[偷笑]
英语还可以的主治考出国执医呢？算是一条路吗？国内没啥家庭负担，比如澳洲,英语还可以的主治考出国执医呢算是一条路吗国内没啥家庭负担比如澳洲,英语 还 可以 的 主治 考 出国 执医 呢 算是 一条 路 吗 国内 没 啥 家庭 负担 比如 澳洲,英语还主治考出国执医算是一条路国内没家庭负担澳洲
确实是对的，哪里都不好搞钱，把身体精力养好才是最正确的,确实是对的哪里都不好搞钱把身体精力养好才是最正确的,确实 是 对 的 哪里 都 不好 搞钱 把 身体 精力 养好 才 是 最 正确 的,确实都不好搞钱身体精力养好才最正确
一二线大城市已经开放外商独资医院了，以后有才能的医生和护士有出路了。,一二线大城市已经开放外商独资医院了以后有才能的医生和护士有出路了,一 二线 大城市 已经 开放 外商独资 医院 了 以后 有 才能 的 医生 和 护士 有 出路 了,二线大城市开放外商独资医院才能医生护士出路
太难,太难,太难,太难
不想太多，挣口饭吃,不想太多挣口饭吃,不想 太多 挣口 饭 吃,不想太多挣口饭吃
医技要不要从县医院去市三甲呢,医技要不要从县医院去市三甲呢,医技 要 不要 从县 医院 去市 三甲 呢,医技从县医院去市三甲
猥琐发育 然后出国,猥琐发育 然后出国,猥琐 发育   然后 出国,猥琐发育出国
再发生疫情我直接辞职,再发生疫情我直接辞职,再 发生 疫情 我 直接 辞职,再发生疫情辞职
县人民医院怎么样，二甲的,县人民医院怎么样二甲的,县 人民 医院 怎么样 二甲 的,县人民医院二甲
@LyEasoN🌟,lyeason,lyeason,lyeason
先躺平，不行转行，再不行也可以出国吗。能念明白医笨不到哪去，做个最优解也不算太难，确实是时代不好，也不止医学在受挫。最倒霉还是病人，医学生不卷了，药也变差了，医院复诊更多了，病看不看得好，这真不好说了。,先躺平不行转行再不行也可以出国吗能念明白医笨不到哪去做个最优解也不算太难确实是时代不好也不止医学在受挫最倒霉还是病人医学生不卷了药也变差了医院复诊更多了病看不看得好这真不好说了,先 躺平 不行 转行 再 不行 也 可以 出国 吗 能念 明白 医笨 不 到哪去 做个 最优 解 也 不算 太难 确实 是 时代 不好 也 不止 医学 在 受挫 最 倒霉 还是 病人 医学生 不卷 了 药 也 变差 了 医院 复诊 更 多 了 病 看不看 得 好 这 真 不好 说 了,先躺平不行转行再不行出国能念明白医笨不到哪去做个最优解不算太难确实时代不好不止医学受挫最倒霉病人医学生不卷药变差医院复诊更病看不看好真不好说
我现在靠天天看加沙来就饭吃，好歹有饭吃，没加砂的白米饭[斜眼R],我现在靠天天看加沙来就饭吃好歹有饭吃没加砂的白米饭[斜眼],我 现在 靠 天天 看 加沙 来 就 饭 吃 好歹 有饭 吃 没加砂 的 白米饭 [ 斜眼 ],天天看加沙饭吃好歹有饭吃没加砂白米饭[斜眼]
@你在苟椒什么,你在苟椒什么,你 在 苟椒 什么,苟椒
躺平，管它什么呢,躺平管它什么呢,躺平 管它 什么 呢,躺平管它
[赞R][赞R][赞R],[赞][赞][赞],[ 赞 ] [ 赞 ] [ 赞 ],[赞][赞][赞]
民营医院也降薪了（降提成点数），上个月工资比以前相同业绩时少了2000。,民营医院也降薪了降提成点数上个月工资比以前相同业绩时少了2000,民营 医院 也 降薪 了 降 提成 点数 上个月 工资 比 以前 相同 业绩 时少 了 2000,民营医院降薪降提成点数上个月工资业绩时少2000
